Trading Code,Date,Sponsor/Director,Govt,Institute,Foreign,Public
AAMRANET,"Jun 30, 2022",33.04,0.0,28.73,0.0,38.23
AAMRANET,"Apr 30, 2023",33.04,0.0,20.15,0.0,46.81
AAMRANET,"May 31, 2023",33.04,0.0,21.69,0.0,45.27
AAMRATECH,"Jun 30, 2022",30.01,0.0,27.96,0.0,42.03
AAMRATECH,"Apr 30, 2023",30.01,0.0,35.34,0.0,34.65
AAMRATECH,"May 31, 2023",30.01,0.0,33.25,0.0,36.74
ABB1STMF,"Jun 30, 2022",15.51,0.0,21.56,0.0,62.93
ABB1STMF,"Apr 30, 2023",15.51,0.0,14.4,0.0,70.09
ABB1STMF,"May 31, 2023",15.51,0.0,14.52,0.0,69.97
ABBANK,"Dec 31, 2021",31.67,0.57,23.49,0.88,43.39
ABBANK,"Apr 30, 2023",31.67,0.57,22.83,0.79,44.14
ABBANK,"May 31, 2023",31.67,0.57,22.82,0.79,44.15
ABBLPBOND,"Dec 31, 2022",0.0,0.0,0.0,0.0,0.0
ACFL,"Jun 30, 2022",65.06,0.0,10.66,0.11,24.17
ACFL,"Apr 30, 2023",49.58,0.0,14.25,0.1,36.07
ACFL,"May 31, 2023",49.58,0.0,14.25,0.1,36.07
ACI,"Jun 30, 2022",35.28,0.0,40.75,0.0,23.97
ACI,"Apr 30, 2023",36.07,0.0,41.07,0.0,22.86
ACI,"May 31, 2023",36.07,0.0,41.07,0.0,22.86
ACIFORMULA,"Jun 30, 2022",66.02,0.0,17.96,0.0,16.02
ACIFORMULA,"Apr 30, 2023",66.02,0.0,20.61,0.0,13.37
ACIFORMULA,"May 31, 2023",66.02,0.0,19.94,0.0,14.04
ACMELAB,"Jun 30, 2022",39.83,0.0,31.05,0.13,28.99
ACMELAB,"Apr 30, 2023",39.88,0.0,30.32,0.14,29.66
ACMELAB,"May 31, 2023",39.88,0.0,30.04,0.14,29.94
ACMEPL,"Jun 30, 2022",31.8,0.0,27.23,0.01,40.96
ACMEPL,"Apr 30, 2023",31.8,0.0,25.25,0.0,42.95
ACMEPL,"May 31, 2023",31.8,0.0,25.25,0.0,42.95
ACTIVEFINE,"Jun 30, 2022",12.04,0.0,25.13,3.11,59.72
ACTIVEFINE,"Apr 30, 2023",12.04,0.0,21.84,0.27,65.85
ACTIVEFINE,"May 31, 2023",12.04,0.0,21.84,0.27,65.85
ADNTEL,"Jun 30, 2022",51.56,0.0,16.57,1.99,29.88
ADNTEL,"Apr 30, 2023",44.91,0.0,16.71,1.99,36.39
ADNTEL,"May 31, 2023",44.91,0.0,18.74,1.99,34.36
ADVENT,"Jun 30, 2022",30.02,0.0,23.55,0.0,46.43
ADVENT,"Apr 30, 2023",30.02,0.0,18.71,0.0,51.27
ADVENT,"May 31, 2023",30.02,0.0,25.6,0.0,44.38
AFCAGRO,"Jun 30, 2022",30.29,0.0,36.51,0.0,33.2
AFCAGRO,"Apr 30, 2023",27.84,0.0,35.96,0.0,36.2
AFCAGRO,"May 31, 2023",27.84,0.0,35.96,0.0,36.2
AFTABAUTO,"Jun 30, 2022",30.0,0.0,36.73,0.0,33.27
AFTABAUTO,"Apr 30, 2023",29.32,0.0,36.58,0.0,34.1
AFTABAUTO,"May 31, 2023",29.32,0.0,37.26,0.0,33.42
AGNISYSL,"Jun 30, 2022",32.76,0.0,10.91,0.0,56.33
AGNISYSL,"Apr 30, 2023",32.76,0.0,10.06,0.0,57.18
AGNISYSL,"May 31, 2023",32.76,0.0,7.73,0.0,59.51
AGRANINS,"Dec 31, 2021",30.15,0.0,14.12,0.0,55.73
AGRANINS,"Apr 30, 2023",30.15,0.0,16.02,0.0,53.83
AGRANINS,"May 31, 2023",30.15,0.0,17.47,0.0,52.38
AIBL1STIMF,"Mar 31, 2022",10.0,0.0,52.6,0.0,37.4
AIBL1STIMF,"Apr 30, 2023",10.0,0.0,53.25,0.0,36.75
AIBL1STIMF,"May 31, 2023",10.0,0.0,53.32,0.0,36.68
AIBLPBOND,"Dec 31, 2020",0.0,0.0,0.0,0.0,0.0
AIL,"Jun 30, 2022",33.35,0.0,11.22,0.0,55.43
AIL,"Apr 30, 2023",33.35,0.0,14.61,0.0,52.04
AIL,"May 31, 2023",33.35,0.0,25.09,0.0,41.56
AL-HAJTEX,"Jun 30, 2022",25.63,0.01,19.96,0.0,54.4
AL-HAJTEX,"Apr 30, 2023",25.63,0.01,16.46,0.0,57.9
AL-HAJTEX,"May 31, 2023",25.63,0.01,16.67,0.0,57.69
ALARABANK,"Dec 31, 2021",41.87,0.0,29.35,0.52,28.26
ALARABANK,"Apr 30, 2023",42.37,0.0,30.38,0.45,26.8
ALARABANK,"May 31, 2023",45.46,0.0,27.42,0.45,26.67
ALIF,"Jun 30, 2022",30.46,0.0,7.8,0.0,61.74
ALIF,"Apr 30, 2023",30.46,0.0,4.14,0.0,65.4
ALIF,"May 31, 2023",30.46,0.0,4.47,0.0,65.07
ALLTEX,"Jun 30, 2022",40.74,0.0,11.64,0.0,47.62
ALLTEX,"Apr 30, 2023",40.74,0.0,6.43,0.0,52.83
ALLTEX,"May 31, 2023",40.74,0.0,6.44,0.0,52.82
AMANFEED,"Jun 30, 2022",63.26,0.0,10.33,0.05,26.36
AMANFEED,"Apr 30, 2023",63.26,0.0,7.87,0.05,28.82
AMANFEED,"May 31, 2023",63.26,0.0,10.26,0.05,26.43
AMBEEPHA,"Jun 30, 2022",75.25,0.0,9.63,0.0,13.12
AMBEEPHA,"Mar 31, 2023",77.25,0.0,5.7,0.0,17.05
AMBEEPHA,"Apr 30, 2023",77.25,0.0,6.7,0.0,16.05
AMCL(PRAN),"Jun 30, 2022",40.15,0.0,16.24,0.0,43.61
AMCL(PRAN),"Apr 30, 2023",40.15,0.0,16.23,0.0,43.62
AMCL(PRAN),"May 31, 2023",40.15,0.0,16.26,0.0,43.59
ANLIMAYARN,"Jun 30, 2022",44.43,0.0,5.02,0.0,50.55
ANLIMAYARN,"Apr 30, 2023",44.43,0.0,5.5,0.0,50.07
ANLIMAYARN,"May 31, 2023",44.43,0.0,4.74,0.0,50.83
ANWARGALV,"Jun 30, 2022",35.32,0.0,22.55,0.0,42.13
ANWARGALV,"Apr 30, 2023",35.32,0.0,27.72,0.0,36.96
ANWARGALV,"May 31, 2023",35.32,0.0,21.16,0.0,43.52
AOL,"Jun 30, 2022",30.65,0.0,23.96,0.13,45.26
AOL,"Apr 30, 2023",30.65,0.0,24.08,0.43,44.84
AOL,"May 31, 2023",30.65,0.0,23.0,0.43,45.92
APEXFOODS,"Jun 30, 2022",36.06,0.0,4.26,0.0,59.68
APEXFOODS,"Apr 30, 2023",53.39,0.0,15.72,0.0,30.89
APEXFOODS,"May 31, 2023",53.39,0.0,8.97,0.0,37.64
APEXFOOT,"Jun 30, 2022",31.75,0.0,24.26,0.0,43.99
APEXFOOT,"Apr 30, 2023",30.86,0.0,15.44,0.0,53.7
APEXFOOT,"May 31, 2023",30.86,0.0,16.34,0.0,52.8
APEXSPINN,"Jun 30, 2022",52.98,0.0,13.14,0.25,33.63
APEXSPINN,"Apr 30, 2023",52.98,0.0,14.88,0.25,31.89
APEXSPINN,"May 31, 2023",52.98,0.0,13.41,0.25,33.36
APEXTANRY,"Jun 30, 2022",30.4,0.0,30.0,0.0,39.6
APEXTANRY,"Apr 30, 2023",30.4,0.0,34.52,0.0,35.08
APEXTANRY,"May 31, 2023",30.4,0.0,37.72,0.0,31.88
APOLOISPAT,"Jun 30, 2018",21.19,0.0,23.6,0.69,54.52
APOLOISPAT,"Jul 31, 2021",20.24,0.0,21.93,0.5,57.33
APOLOISPAT,"Sep 30, 2021",20.24,0.0,20.53,0.42,58.81
APSCLBOND,"Jun 30, 2019",0.0,0.0,0.0,0.0,0.0
ARAMIT,"Jun 30, 2022",45.92,0.0,10.45,0.0,43.63
ARAMIT,"Apr 30, 2023",63.58,0.0,11.9,0.0,24.52
ARAMIT,"May 31, 2023",63.58,0.0,11.74,0.0,24.68
ARAMITCEM,"Jun 30, 2022",45.92,0.0,10.45,0.0,43.63
ARAMITCEM,"Apr 30, 2023",45.92,0.0,11.45,0.0,42.63
ARAMITCEM,"May 31, 2023",45.92,0.0,11.7,0.0,42.38
ARGONDENIM,"Jun 30, 2022",36.08,0.0,33.71,0.0,30.21
ARGONDENIM,"Apr 30, 2023",35.79,0.0,33.46,0.0,30.75
ARGONDENIM,"May 31, 2023",35.79,0.0,35.61,0.0,28.6
ASIAINS,"Dec 31, 2021",47.63,0.0,26.67,0.0,25.7
ASIAINS,"Apr 30, 2023",42.67,0.0,4.85,0.0,52.48
ASIAINS,"May 31, 2023",42.67,0.0,6.85,0.0,50.48
ASIAPACINS,"Dec 31, 2021",37.66,0.0,25.38,0.0,36.96
ASIAPACINS,"Apr 30, 2023",39.66,0.0,30.57,0.0,29.77
ASIAPACINS,"May 31, 2023",39.66,0.0,30.27,0.0,30.07
ATCSLGF,"Jun 30, 2022",3.24,0.0,32.55,0.17,64.04
ATCSLGF,"Apr 30, 2023",3.24,0.0,32.55,0.17,64.04
ATCSLGF,"May 31, 2023",3.24,0.0,32.55,0.17,64.04
ATLASBANG,"Jun 30, 2022",0.0,51.0,16.6,0.0,32.4
ATLASBANG,"Apr 30, 2023",0.0,51.0,16.72,0.0,32.28
ATLASBANG,"May 31, 2023",0.0,51.0,16.76,0.0,32.24
AZIZPIPES,"Jun 30, 2022",23.93,0.0,10.49,0.0,65.58
